category,k,arm,elicitation,mechanism,d_hat_I,d_hat_I_se,d_hat_J,d_hat_J_se,match_rate,match_rate_se,total_value_per_customer,total_value_per_customer_se,attention_per_customer,attention_per_customer_se,net_welfare_per_customer,net_welfare_per_customer_se
easy,1,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,1,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.029,0.002,0.022,0.002,1.998,0.001,0.002,0.002
easy,1,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,1,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.03,0.002,0.022,0.002,1.998,0.001,0.002,0.002
easy,2,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,2,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.112,0.004,0.079,0.003,3.986,0.002,0.04,0.003
easy,2,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,2,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.111,0.004,0.079,0.003,3.986,0.002,0.039,0.003
easy,3,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,3,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.221,0.004,0.152,0.003,5.935,0.004,0.093,0.003
easy,3,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,3,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.224,0.004,0.155,0.003,5.935,0.004,0.095,0.003
easy,5,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,5,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.441,0.005,0.296,0.003,9.413,0.014,0.202,0.003
easy,5,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,5,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.442,0.005,0.296,0.003,9.413,0.014,0.202,0.003
easy,10,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,10,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.614,0.005,0.404,0.003,13.192,0.041,0.272,0.003
easy,10,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,10,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.613,0.005,0.403,0.003,13.192,0.041,0.271,0.003
easy,15,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,15,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.619,0.005,0.407,0.003,13.413,0.045,0.273,0.003
easy,15,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,15,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.619,0.005,0.407,0.003,13.413,0.045,0.273,0.003
easy,20,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,20,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.619,0.005,0.407,0.003,13.413,0.045,0.273,0.003
easy,20,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,20,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.619,0.005,0.407,0.003,13.413,0.045,0.273,0.003
easy,30,standard_search,standard,search,0.804,0.001,0.801,0.001,0.616,0.004,0.411,0.003,14.953,0.105,0.261,0.004
easy,30,standard_da,standard,deferred_acceptance,0.804,0.001,0.801,0.001,0.619,0.005,0.407,0.003,13.413,0.045,0.273,0.003
easy,30,ai_search,ai,search,0.803,0.001,0.803,0.001,0.616,0.004,0.411,0.003,14.941,0.104,0.261,0.004
easy,30,ai_da,ai,deferred_acceptance,0.803,0.001,0.803,0.001,0.619,0.005,0.407,0.003,13.413,0.045,0.273,0.003
hard,1,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,1,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.029,0.002,0.021,0.001,1.997,0.001,0.001,0.001
hard,1,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,1,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.028,0.002,0.021,0.001,1.997,0.001,0.001,0.001
hard,2,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,2,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.114,0.004,0.079,0.003,3.98,0.002,0.04,0.003
hard,2,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,2,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.115,0.004,0.08,0.003,3.98,0.002,0.04,0.003
hard,3,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,3,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.227,0.004,0.154,0.003,5.913,0.005,0.095,0.003
hard,3,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,3,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.227,0.004,0.154,0.003,5.913,0.005,0.095,0.003
hard,5,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,5,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.443,0.005,0.294,0.003,9.291,0.015,0.201,0.003
hard,5,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,5,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.445,0.005,0.295,0.003,9.291,0.015,0.202,0.003
hard,10,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,10,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.598,0.004,0.39,0.003,12.77,0.041,0.262,0.003
hard,10,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,10,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.598,0.004,0.39,0.003,12.77,0.041,0.262,0.003
hard,15,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,15,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.603,0.004,0.393,0.003,12.965,0.045,0.264,0.003
hard,15,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,15,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.603,0.005,0.393,0.003,12.965,0.045,0.264,0.003
hard,20,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,20,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.603,0.004,0.393,0.003,12.966,0.045,0.264,0.003
hard,20,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,20,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.603,0.005,0.393,0.003,12.966,0.045,0.264,0.003
hard,30,standard_search,standard,search,0.795,0.001,0.794,0.001,0.6,0.004,0.397,0.003,15.488,0.106,0.242,0.004
hard,30,standard_da,standard,deferred_acceptance,0.795,0.001,0.794,0.001,0.603,0.004,0.393,0.003,12.966,0.045,0.264,0.003
hard,30,ai_search,ai,search,0.802,0.001,0.799,0.001,0.601,0.004,0.397,0.003,15.437,0.106,0.243,0.004
hard,30,ai_da,ai,deferred_acceptance,0.802,0.001,0.799,0.001,0.603,0.005,0.393,0.003,12.966,0.045,0.264,0.003
